source_id,source_so_ky_hieu,target_so_ky_hieu,trigger,evidence
166170,32/2024/QH15,47/2010/QH12,Tham chiếu,"00 và khoản 15 Điều 210 của Luật này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2025. 3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, t"
166170,32/2024/QH15,17/2017/QH14,"Sửa đổi, bổ sung","ày 01 tháng 01 năm 2025. 3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, trừ quy định tại các khoản 1, 2, 3, 4, 8, 9, 12 và 14 Điều 210 c"
166170,32/2024/QH15,47/2010/QH12,Dẫn chiếu,"i có liên quan tại ngân hàng thương mại sở hữu cổ phần vượt tỷ lệ quy định tại Điều 55 của Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 phải xây dựng và thực hiện lộ trình để bảo đảm tuân thủ"
166170,32/2024/QH15,42/2017/QH14,Dẫn chiếu,c. 6. Tài sản bảo đảm của khoản nợ xấu là dự án bất động sản đã được thu giữ theo quy định tại Điều 7 của Nghị quyết số 42/2017/QH14 về thí điểm xử lý nợ xấu của các tổ chức tín dụng (sau đây gọi là Nghị quyết số 42/2017/QH14) hoặc đang thực hiện thủ t
166170,32/2024/QH15,42/2017/QH14,Tham chiếu,i Điều 7 của Nghị quyết số 42/2017/QH14 về thí điểm xử lý nợ xấu của các tổ chức tín dụng (sau đây gọi là Nghị quyết số 42/2017/QH14) hoặc đang thực hiện thủ tục chuyển nhượng theo quy định tại Điều 10 của Nghị quyết số 42/2017/QH14 trước ngày Luật này
166170,32/2024/QH15,29/2023/QH15,Dẫn chiếu,"nhượng phải đáp ứng điều kiện quy định tại các điểm a, d, đ, g và h khoản 1 Điều 40 của Luật Kinh doanh bất động sản số 29/2023/QH15 và phải có quyết định giao đất, cho thuê đất của cơ quan nhà nước có thẩm quyền; b) Bên nhận chuyển nhượng dự án phải đ"
112025,73/2016/NĐ-CP,67/2014/NĐ-CP,Tham chiếu,"eo quy định pháp luật. Điều 86. Đại lý bán sản phẩm bảo hiểm liên kết đầu tư, bảo hiểm hưu trí, bảo hiểm theo Nghị định 67/2014/NĐ-CP 1. Đại lý bảo hiểm bán bảo hiểm liên kết đơn vị phải đáp ứng các điều kiện sau: a) Không vi phạm quy định pháp luật về"
112025,73/2016/NĐ-CP,45/2007/NĐ-CP,Tham chiếu,THI HÀNH Điều 115. Hiệu lực thi hành 1. Nghị định này có hiệu lực thi hành từ ngày 01 tháng 7 năm 2016. 2. Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm; Nghị định s
112025,73/2016/NĐ-CP,123/2011/NĐ-CP,Tham chiếu,"gày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm; Nghị định số 123/2011/NĐ-CP ngày 28 tháng 12 năm 2011 của Chính phủ quy định chi tiết thi hành một số điều của Luật sửa đổi, bổ sung một số điều củ"
112025,73/2016/NĐ-CP,45/2007/NĐ-CP,"Sửa đổi, bổ sung","iều của Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm và sửa đổi, bổ sung một số điều của Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm; Nghị định s"
112025,73/2016/NĐ-CP,68/2014/NĐ-CP,Tham chiếu,"gày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm; Nghị định số 68/2014/NĐ-CP ngày 09 tháng 7 năm 2014 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm"
112025,73/2016/NĐ-CP,46/2007/NĐ-CP,Tham chiếu,"y 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm và Nghị định số 46/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chế độ tài chính đối với doanh nghiệp bảo hiểm, doanh nghiệp môi giới b"
38128,37/2014/TT-NHNN,46/2010/QH12,Căn cứ,"t kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam ____________________ Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11/11/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ"
38128,37/2014/TT-NHNN,156/2013/NĐ-CP,Căn cứ,"n, đúc tiền Việt Nam ____________________ Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11/11/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam"
38128,37/2014/TT-NHNN,11/11,Căn cứ,"____________________ Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11/11/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Căn cứ Ng"
38128,37/2014/TT-NHNN,40/2012/NĐ-CP,Căn cứ,"hính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02/5/2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ t"
38128,37/2014/TT-NHNN,02/5,Căn cứ,"hức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02/5/2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ thống Ngân"
